text,Gold Label
"Have you ordered your official Team Warren merch yet? Order by 12/9 to get it in time for the holidays!

Click here to see all of our new holiday items, and bring the spirit of big, structural change to the season!",no topic
"Did you hear? The official Team Warren store has a new Spanish language collection!

Weду»re offering a one-day-only discount on our official campaign store! Enter code DREAMBIG at checkout for 25% off your order. 

Click here to check out the collection and show off your campaign swag. 

***

ЊзLa tienda oficial del Equipo Warren tiene una nueva colecciн_n de camisetas en espaн±ol!

ЊзEstamos ofreciendo un descuento por solo un dн_a en nuestra tienda oficial de la campaн±a! Ingresa el cн_digo DREAMBIG al finalizar tu compra para obtener un descuento de 25%.

Haz clic aquн_ para ver la colecciн_n y vestir tu camiseta de la campaн±a.",no topic
Ambassador Gordon Sondland got his job after writing a $1 million check to Donald Trumpду»s inaugural committee. This is Washington corruption at its worst. Iду»ve pledged never to give ambassadorial positions to wealthy donorsдуоand every candidate should do the same.,governance
"Weду»re tired of freeloading billionaires who donду»t pay their fair share. You can show that you are too with our brand-new, limited-edition думIду»m tired of freeloading billionairesдуќ sticker! Chip in any amount to help us hit our fundraising goal and weду»ll send you one for free.",economic
"The rich and powerful have made it so that our economy only works for a thinner and thinner slice at the top, while everyone else has to accept little  nibbles around the edges. Itду»s time for billionaires to pay their fair share, and weду»ve got a new sticker for that!

You can show that you want billionaires to pay their fair share with our new, limited-edition думIду»m tired of freeloading billionairesдуќ sticker! Chip in any amount to help us hit our fundraising goal and weду»ll send you one for free.

This sticker is not available in the Team Warren store, so donду»t miss your chance to get yours now. Your donation helps power this grassroots movement to root out corruption in Washington and put power in the hands of the people. 

Chip in any amount to help us hit our fundraising goal and weду»ll send you one for free.",economic
"Check out Team Warrenду»s Pride collection: weду»ve got tees, tanks, and totes that show the world you dream big, fight hard, and live proud. 

Check out the collection to get your official campaign swag.",no topic
"When Elizabeth meets young women on the campaign trail, she often says, ""My name is Elizabeth, and I'm running for president дуо because that's what girls do."" And then she asks them to pinky promise that theyду»ll always remember they can, too.

Whether or not youду»ve had the chance to make that pinky promise with Elizabeth, or simply want to be in this fight to make sure we can make history with a woman in the White House, you can show your support with our official Women with Warren shirts. Click here to shop the collection.",no topic
"Higher education opened a million doors for me. Itду»s how the daughter of a janitor got to become a teacher, a law school professor, a U.S. Senator, and eventually, a candidate for President of the United States.

Today, itду»s virtually impossible for a young person to find that kind of opportunity. As states have invested less per-student at community colleges and public four-year colleges, the schools themselves have raised tuition and fees to make up the gap. And rather than stepping in to hold states accountable, or to pick up more of the tab and keep costs reasonable, the federal government went with a third option: pushing families that canду»t afford to pay the outrageous costs of higher education towards taking out loans.

Thatду»s why Iду»m calling for something truly transformational дуо the cancellation of up to $50,000 in student loan debt for 42 million Americans.

Once weду»ve cleared out the debt thatду»s holding down an entire generation of Americans, we must ensure that we never have another student debt crisis again. We can do that by recognizing that a public college education is like a public K-12 education дуо a basic public good that should be available to everyone with free tuition and zero debt at graduation.","social programs, education"
"""ду»Anybody in here have student loan debt?ду» Warren asked the crowd. дуЦAnybody in here know someone with student loan debt? Okay, I think we got almost everybody.ду»

думShe then asked people in the audience to take out their phones and plug their student debt amounts into the calculator, which can be found directly on her 2020 presidential campaign website.

думThe calculator poses a short series of questions дуо about what type of schooling an individual took out loans for, how much student debt they accumulated, and how much their total income was the previous year. The calculator then uses that information to determine exactly how much of that individual's student debt would be canceled under Warren's plan.

думAccording to CNN, Warren's plan would eliminate up to $50,000 in student debt for anyone living in a household that earns less than $100,000 per year. People from households that make between $100,000 and $250,000 annually would have student debt canceled on a sliding scale proportional to their income, Business Insider reported, while those from households making $250,000 or more would not qualify for any student debt cancellation.дуќ","social programs, education"
"Iду»ve heard there are some billionaires who donду»t support my two-cent wealth tax. If they want to cry about paying their fair share, weду»ve got the perfect mug for them. Head to the Official Warren for President shop now to get your very own думBillionaire Tearsдуќ mug.",economic
"In November 2019, billionaire Leon Cooperman was brought to tears on live television while discussing the prospect that, as president, Elizabeth Warren might require him to pay his fair share in taxes. Our response? Weду»ve got a mug for that. Head to the shop now to get yours!",economic
"The issues we discussed at tonightду»s Democratic debate touch people all over this country in their everyday lives.

We know what we need to do. We have a lot of good ideas for how to fix things and a majority of Americans are with us. But we don't make changeдуоbecause of corruption.",no topic
"Iду»m tired of freeloading billionaires. If you are too, join our grassroots campaign.",no topic
"On the debate stage, I made it clear: Iду»m tired of freeloading billionaires. My wealth tax asks for just a few cents from those billionaires, and it could fund universal pre-k, free college, and so much more. If youду»re sick of the freeloading too, chip in and join our campaign.","economic, social programs, education"
"We need to ensure that everyone in this country has the opportunity to succeed. Here's what we could do with my two-cent #WealthTax: дмѓ Universal Child Care and pre-k
дмѓ $800 billion dollars in our public schools
дмѓ $50 billion in #HBCUs
дмѓ Cancel student loan debt

#DemDebate","economic, social programs, social cultural, education"
"""дуЦ[The] plan, which would impose a 2% tax on fortunes over $50 million, would fund universal child care and pre-kindergarten, provide tuition-free college, invest $50 billion into historically black colleges, and cancel student loan debt for an estimated 42 million people,ду» she said on the Des Moines Register Political Soapbox at the Iowa State Fair on Saturday.

думдуЦWe could do all that and still have a couple of hundred billion dollars left over. That should tell you about what's broken in America,ду» Warren said. дуЦEvery time we see a budget, itду»s really just a statement of our values. Is it more important to leave the two cents for the bazillionaires or use that two cents to invest in all of our kids?

""дуЦWell, Iду»m here because I think we ought to be investing in all of our kids.ду»""","economic, social programs, education"
"""In Iowa alone, Warren has attended 36 events, spoken to more than 7,000 Iowans and taken almost 5,000 selfies over eight trips. She also employs more than 50 paid staff members in the state, which has garnered the attention of top local Democrats.

думдуЦIду»ve done 90-plus town halls, Iду»ve taken literally thousands of questions. Iду»ve been to 20 states and Puerto Rico. And yeah, weду»re coming up on our 30,000th selfie,ду» Warren told the audience. дуЦThatду»s how you build a grassroots movement.ду»

""дуЦIt has been a real honor to have the chance to be out and talk to folks all across Iowa about the kinds of changes we could make together that would make a real difference and touch peopleду»s lives.ду»дуќ",no topic
"думU.S. Sen. Elizabeth Warren, a Massachusetts Democrat, spent the evening at USC Aiken, speaking at length to hundreds of people in a gym and, before that, to an overflow crowd gathered outside on a nearby lawn. The event was attended by a total 925 people, according to her campaign.

думдуЦThis is our moment in American history. It comes to us...to get organized, to build a grassroots movement, to persist and to build the country of our best values,ду» Warren said, wrapping up her stump speech. While addressing the outdoor crowd, the senator said she was ready to turn the two-state region, a Republican safe haven, blue.""",no topic
"думWarren told the crowd that sheду»s spent her adult life working to answer the questions дуЦWhy has the path gotten so rocky for working people in America?ду» and why are things дуЦparticularly rocky for African Americans?ду»

думWarren then explained the history of redlining, a discriminatory practice that systematically denied black people loans to buy houses for decades. дуЦThat gap between white homeownership and black homeownership that was 27 points back when discrimination was legal? Today is 31 points. Thatду»s not an America thatду»s working for everyone,ду» she said.дуќ","economic, social cultural"
"Violent white nationalist attacks take place at different times, in different places across our country, but they share much in common. They were intended to create fear. They were motivated by hate and bias. And they are incompatible with our values and have no place in American life. 

The FBI logged more than 7,000 hate crimes last year, and the governmentду»s own surveys suggest there are hundreds of thousands more that go unreported or uncategorized. 

In a Warren administration, we will use every tool we have to defeat domestic right-wing terrorism. Hereду»s what weду»ll do: 
- Weду»ll prioritize the investigation and prosecution of white nationalist violence using the resources of the Departments of Justice and Homeland Security.
- Weду»ll tackle gun violence by expanding background checks, keeping guns out of the hands of those who may be violent, and preventing perpetrators of hate crimes from owning firearms. 
- Weду»ll invest in early prevention of extremist violence, teaching tolerance, and addressing incitement of violence on the Internet. 
- Weду»ll reform our police forces to protect targeted communities by tackling racially discriminatory policing, separating law enforcement from immigration enforcement, and better holding officers accountable when they violate a personду»s constitutional rights. 

To take on hate, we all have to stand up against it дуо together. Thatду»s why Iду»m in this fight, and I hope youду»ll join me. Sign on today.","safety, social cultural"
"Since the mortgage crisis, large private equity firms have become some of the countryду»s biggest landlords дуо a big win for Wall Street, but a huge loss for Americaду»s renters. We canду»t keep letting these firms loot the economy to pad their own pockets while working families suffer.

Iду»ll protect renters from unjust eviction and discrimination. Iду»ll also stop federal dollars from going to predatory landlords with a long history of harassing tenants, forcing tenants to live in dangerous or indecent conditions, or redlining our communities. 

We need to protect Americaду»s renters from exploitation. Sign on if youду»re with me.",economic
"Everyone in American should have a decent, affordable, and safe place to live, but skyrocketing rents are crushing millions of families and landlords are exploiting their power over tenants.

My plan will protect renters from unjust eviction and discrimination, make housing more affordable, and will invest in quality public housing.

If you agree we need to protect and empower renters, sign on today.",economic
"All in for Elizabeth? Head to the Team Warren store to stock up on official merch!

Get everything you need to fight for big structural change: mugs to catch billionaire tears in, sweatshirts to keep you warm while knocking doors, and tote bags to carry all of Elizabethду»s many, many plans.  

Click here to see all of our new products and pick up a few for you and your friends who dream big and fight hard!",no topic
"Red tide devastated Florida for sixteen months and now it's backдуоkilling fish and causing beaches to ""smell like death."" I am fighting for a Green New Deal so that our beaches stay safe. Add your name if you're with me.",environmental
"Team Warren will be busing supporters from Columbus, Georgia to Atlanta to hear Elizabeth Warren's speech at Clark Atlanta University on November 21st! The bus will pick supporters up between 11:30am-12pm and leave promptly at 12pm.",no topic
"Insurance companies, big pharma, and Republicans will fight any plan to improve health care. Making it all the way to Medicare for All wonду»t be easy, but Iду»ll fight my heart out to get this done for one simple reason. I spent a lifetime learning from working families who go broke. A huge reason for that is health care costs. 

Families shouldnду»t go bankrupt because of health care costs. When Iду»m president, Iду»m going to do everything in my power to make sure that never happens to another person again. 

Hereду»s my plan дуо and it starts the day I take office: 
- In my first 100 days Iду»ll give everyone 50 and older the option to enroll in the existing Medicare program and let every person in America join a Medicare for All option for little or no cost.
- Iду»ll lower the cost of lifesaving drugs like insulin.
- Iду»ll crack down on Washington corruption to stop insurance and drug companies from blocking real change.

By the end of my third year as president, weду»ll vote to transition everyone to Medicare for All. At this point, millions of Americans will likely have already experienced the full benefits of Medicare for All. Theyду»ll be able to compare the new system against the corrupt and wasteful system that exists today, and the choice will be clearer than ever: Medicare for All is cheaper and provides better care. 

If youду»re with us in this fight for Medicare for All, sign on today.","social programs, economic, health"
"All three of my brothers served in the military, so I know the responsibility we have to our service members, military families, and veterans. As Commander-in-Chief, I will lead our Armed Forces with awareness of the unique challenges service members and military families face, and the difficulties veterans encounter as they navigate the VA during their transition to civilian life. We need to exercise care in how we deploy our forces abroad, and we need to care for our veterans after they take off the uniform. I will prioritize our most important strategic asset дус our people дус as we reform Pentagon spending and address our most pressing national security crises. The way I see it, this is not complicated. Itду»s about a government that keeps its promises to those who served дуо itду»s about our values. 

We can honor our veterans by ending these endless wars, reining in our bloated defense budget and reducing the influence of defense contractors at the Pentagon, and bringing our troops home responsibly дуо and then providing our veterans with the benefits theyду»ve earned. 

Thatду»s why Iду»ve put together a comprehensive plan to keep our promises to service members, veterans, and military families. Sign up today if youду»re with me on this.",military
"It's time to put power in the hands of the people. I'm proud to fight alongside Ayanna Pressley for the big, structural change that we need. Chip in now to join our fight for the big, structural change that we need.",no topic
"Elizabeth will visit the New Hampshire State House on Wednesday, November 13 to file her declaration of candidacy for the Democratic primary, and we want you to join her!",no topic
"Insurance and drug companies will spend millions in political contributions and disinformation campaigns against Medicare for All in order to keep billions in profits flowing in. We have to fight back against it. 

The truth is this: my Medicare for All plan covers everyone, saves the middle class a whopping $11 trillion, and is paid for largely by holding corporations and the wealthiest 1% accountable. The middle class wonду»t pay a penny more in taxes.

You donду»t get what you donду»t fight for, and I will fight to make Medicare for All a reality for all Americans. Sign up today if youду»re with me.","social programs, economic, health"
"A lot of people have been curious about how Iду»ll pay for Medicare for All as president. Iду»ve got a plan for that. Iду»m proud that itду»s the first health care plan by anyone in this presidential primary that lays out the full cost and how we can pay for it. Spoiler alert: it doesnду»t raise middle-class taxes by one penny and saves American families $11 trillion on health care costs over the next ten years.

Hereду»s how it works:
- Taxes for middle class families will not go up дуо instead, my plan gives Americans an $11 trillion tax break.
- Costs will be covered by making the wealthiest 1% and big corporations pay their fair share. 

If youду»re with me on this, sign up today.","social programs, economic, health"
"After the Mueller report, Congress had a duty to begin impeachment. By failing to act, Congress is complicit in Trumpду»s latest attempt to solicit foreign interference to aid him in US elections. Do your constitutional duty and impeach the president.

A president is sitting in the Oval Office, right now, who continues to commit crimes. He continues because he knows his Justice Department won't act and believes Congress wonду»t either. He thinks heду»s above the law. If we do nothing, heду»ll be right.

Mitch McConnell is also complicit. The Senate must vote on the bill, already passed by the House, to help states and localities protect themselves from the foreign attacks on our elections that the President has previously welcomed.

In 1974, Democrats and Republicans united in support of impeachment not out of mutual contempt for Nixon but mutual respect for the rule of law. Congress refused to be complicit in future law-breaking by Nixon or other presidents. Itду»s time for this Congress to step up and act. If youду»re with me, sign up now.","foreign policy, governance"
"Today, climate change poses both an existential threat and a scientific challenge. We already see its effects дуо record floods, devastating wildfires, 100-year storms that happen every year дуо costing lives and billions of dollars in damage.
 
Hereду»s my plan to help tackle climate change head-on: Invest $2 trillion over the next ten years in American green research, manufacturing, and exporting дуо linking American innovation directly to American jobs, and helping achieve the ambitious domestic and international targets of the Green New Deal.

The science is clear: even if we reduce Americaду»s emissions so that they are net-zero by 2030, we will still fall far short of the reduction in global emissions needed to avert a climate crisis. We need widespread domestic and international adoption of clean, renewable, and emission-free energy technology to meet the goals of the Green New Deal. Thatду»s why Iду»m proposing a Green Marshall Plan дуо a commitment to use all the tools in our diplomatic and economic arsenal to encourage other countries to purchase and deploy American-made clean energy technology. This includes a new federal office dedicated to selling American-made clean, renewable, and emission-free energy technology abroad and a $100 billion commitment to assisting countries to purchase and deploy this technology. Sign up now if you agree that itду»s time for a Green Marshall Plan.","environmental, economic"
"Access to quality reproductive health services, including safe and legal abortion, is essential to a womanду»s health and economic security. But systemic barriers have made it especially difficult for Black women to access the reproductive care they need.

This is a dark moment. People are scared and angry. And they are right to be. But the next president can begin to fix this and undo some of the damage done by the Trump Administrationду»s efforts to undermine women's health care. My plan lays out the steps to fight back.","social cultural, health"
"Itду»ll take all of us working together to make big, structural change happen. Join our team by signing up today.",no topic
"Watch a message from Elizabeth above! 

Itду»ll take all of us working together to make big, structural change happen. Whether itду»s universal child care, canceling student loan debt, ending corruption in Washington, or fighting climate change, Elizabeth has a plan дуо and she needs you to be a part of it.

Join our team by signing up today.","social programs, environmental, education"
"I believe in Americaду»s public schools, and I believe that every kid in America should have the same access to a high-quality public education дуо no matter what zip code they live in, the color of their skin, or how much money their parents make. 

Betsy DeVos has been a disaster as Secretary of Education, but funding for public K-12 education has been both inadequate and inequitable for too long. Weду»re failing to treat public school teachers, paraprofessionals, and school staff like the professionals they are. We need to pay them well, listen to them, and give them the support that they need.

I've got a plan to invest in public schools and ensure every kid in America has the same access to a high-quality public education. My plan will:

 дуў Fund schools adequately and equitably so that all students have access to a great public education.
 дуў Renew the fight against segregation and discrimination in our schools.
 дуў Provide a warm, safe, and nurturing school climate for all our kids.
 дуў Treat teachers and staff like the professionals they are. 
 дуў Stop the privatization and corruption of our public education system. 

And it would all be paid for by the Ultra-Millionaire Tax, a two cent tax on fortunes above $50 million.

Our students, public school educators, and parents deserve a president that will fight for them дуо and thatду»s the kind of president Iду»ll be. Add your name to support my plan for public education.","social programs, social cultural, economic, education"
"I've got a plan to invest in public schools and ensure every kid in America has the same access to a high-quality public education. First, weду»re going to invest hundreds of billions of dollars into our public schools (paid for by the Ultra-Millionaire Tax). 

That means weду»ll be able to quadruple Title I funding дуо an additional $450 billion over the next 10 years дуо to help every child get a high-quality public education. And weду»ll invest an additional $200 billion in special education, at least an additional $50 billion in school infrastructure, and an additional $100 billion in думExcellence Grantsдуќ to give schools the chance to invest in programs and resources that they believe are most important to their students.

Add your name now to support my plan to invest billions of dollars into our public schools дуо all paid for by a two cent tax on ultra-millionaires.","social programs, economic, education"
"Integrated schools improve educational outcomes for students of all races. And integrated schools are demanded by our Constitution. 

Thatду»s why Iду»m committed to strengthening Title VI of the Civil Rights Act of 1964 дуо which prohibits discrimination on the basis of race in any program or activity that receives federal funding дуо and reviving robust enforcement of its terms.

My plan uses federal education funding to encourage states to further integrate their schools, and my administration will strictly enforce the right of students with disabilities to a free and appropriate public education and will protect the rights of LGBTQ+ students, English Language Learners, and immigrant students and their families.

Add your name now to fight against segregation and discrimination in our public schools.","social cultural, social programs, governance, education, immigration"
"We have to provide great traditional public schools for every student. Under my plan, we will end federal funding for the expansion of charter schools, ban for-profit charter schools, and ensure existing charter schools are held to the same level of transparency and accountability as traditional public schools.

Add your name to stop the privatization of public schools.","social programs, education"
"Betsy DeVos has been a disaster as Secretary of Education, but funding for public K-12 education has been both inadequate and inequitable for too long. We need to pay our teachers, paraprofessionals and school staff well, listen to them, and give them the support that they need.

As president, Iду»ll start by replacing Betsy DeVos with a Secretary of Education who has been a public school teacher, believes in public education, and will listen to our public school teachers, parents, and students. 

Sign up now if youду»re ready to replace Betsy Devos with a qualified Secretary of Education.","social programs, economic, governance, education"
"Our movement is powered by grassroots donors дуо and Iду»m so proud of that. Itду»s because of folks like you that Iду»m able to travel around the country, meet people, hear their stories, and take selfies with them too! 

Itду»s because of folks like you that Iду»m able to get up on that debate stage and talk about our plans for big, structural change. Iду»m fired up from that last debate, but to keep this campaign moving forward, we need your help.

This movement is only possible when we all work together. Chip in to help us keep going.",no topic
Our movement is powered by grassroots donors дуо and Iду»m so proud of that. Chip in what you can to help us keep going.,no topic
"The Supreme Courtду»s ruling blocking the citizenship question on the 2020 Census is a welcome relief дуо but the Court has left open the possibility that the Trump administration could still add a citizenship question to preemptively rig the results of the 2020 Census.

Right-wing extremists Steve Bannon and Kris Kobach pushed the Trump administration to add the question to suppress the count of immigrants, and Commerce Secretary Wilbur Ross lied about these contacts. Since then, the Trump administration has made every effort to conceal evidence about the racist and partisan decision to add the citizenship question to the 2020 Census. 

Make no mistake: The Trump administration pushed to add the question to scare Latinx Americans and suppress the count in immigrant communities so that these communities would be deprived of representation, funding, and necessary services. We cannot allow these intimidation tactics to succeed in silencing our voices дуо and thatду»s why we must fight back.

If the Trump administration somehow manages to get a citizenship question back on the Census, I would cancel that rigged Census and replace it with a fair and accurate one. And Iду»ll make this promise right now: A Warren administration would never include a citizenship question on the Census. 
If youду»re with me, sign up now to fight back.","immigration, governance"
"President Trump has weaponized deportation in ways that are costly, ineffective, and designed to maximize pain. Itду»s time to end this cruelty дуо and refocus on true threats to public safety and national security instead. As president, I will decriminalize migration and refocus enforcement on serious criminal activity.

Entering the country without authorization has always been a violation of civil immigration law, but thanks to a former segregationist Senator, itду»s also a criminal violation. Since the early 2000s, this additional criminal provision has been used to build and sustain a massive immigration detention complex. 

In 2016, over half of all federal criminal prosecutions were for immigration violations дуо more than prosecutions for terrorism, organized crime, hate crimes, or financial fraud. This obsessive focus ties up federal prosecutors and overwhelms federal courts. Itду»s costly and unnecessary. And under Trump, it has become increasingly abusive. 
As president, I will immediately issue guidance to end criminal prosecutions for simple administrative immigration violations. If youду»re with me, sign up today.","immigration, economic, safety, social cultural"
"Our laws and our values compel us to help those fleeing violence and oppression, but Trumpду»s racism has contributed to a climate of fear for those seeking refuge in our country. At a time when 70 million are displaced around the world, President Trump has abused his authority to lower the refugee cap for the United States, admitting just over 22,000 refugees in total last year. 

As president, Iду»ll welcome 125,000 refugees in my first year, and ramp up to at least 175,000 refugees per year by the end of my first term. We should welcome those fleeing violence, not imprison them in cages. So I will reverse Trumpду»s efforts to stack the deck against asylum applicants. Iду»ll ensure that asylum seekers can safely present themselves at ports of entry, and expand asylum protections for those fleeing domestic or gang violence and for gender identity and sexual orientation-based claims.

If youду»re with me, sign up now.","immigration, safety, social cultural"
"States with strict licensing requirements experience lower rates of gun trafficking and violence. A license is required to drive a car, and Congress should establish a similar system for the purchase of any type of firearm or ammunition. As president, Iду»ll create a federal licensing system to ensure that safe, responsible ownership is the standard for everyone who chooses to own a gun. 

If youду»re with me, sign up now.",safety
"When I was growing up, before Roe v. Wade, people still got abortions. Some were lucky. Others werenду»t. They all went through hell. The overwhelming majority of Americans have no desire to return to the world before Roe v. Wade. And so the time to act is now. 

Iду»ve got a plan to create federal, statutory rights that would invalidate state bans and protect the right to have an abortion nationwide. Add your name if youду»re with me and ready to fight.","social cultural, health"
"When individuals who are paid to influence politicians also funnel money into the campaigns of those same politicians, that sounds like legalized bribery. My anti-corruption plan will end the corrupting influence of lobbyists throughout our government, including banning lobbyists from donating, bundling, and fundraising for candidates. Itду»s time to put power in the hands of the people where it belongs дуо sign up now if you agree.",governance
"Citizens United cleared the way for massive super PACs and dark money organizations that funnel hundreds of millions of dollars into our politics on behalf of largely unknown donors. Every organization that makes an election-related expenditure should be required to promptly disclose their large donors. And super PACs and other dark money groups must provide enough information about the sources of their money so the American people can trace it back to the ultimate individuals and entities that are funding them дуо not just the shell organizations used to conceal those sources.

If youду»re ready to put an end to dark money in politics, sign up now.",governance
"Right now, our system of funding elections allows individuals and PACs to donate huge sums of money to candidates and parties. We need to empower ordinary people through a small-dollar public financing system that gives candidates an incentive to spend more time courting working people, rather than just big donors. 

My plan will include a public financing program that would give a 6-1 match for small dollar contributions, less than $200. The program will be funded by penalties coming from corporate malfeasance and major tax crimes. Our democracy shouldnду»t be bought and paid for by the wealthy and powerful. It belongs to all of us.

Sign up now to fight for publicly funded elections.",governance
"Weду»re getting organized in cities and states all across the country, and weду»re looking for people like you to join us. Sign up to volunteer and our grassroots team will get in touch with you about ways to take action in your area!",no topic
"For decades, the FDA has banned gay and bisexual men from donating blood. This ban is outdated, discriminatory, and reduces the already limited blood supply. I helped lead the fight against this discriminatory ban and pushed the FDA to change its policies. While this change was an improvement, it does not go far enough. As president, I would lift this ban completely and make sure that any restrictions around blood donations are grounded in science and based on individual risk factors. 

If youду»re ready to end the discriminatory blood donation ban for gay and bisexual men, sign up now.",social cultural
"We must prevent the weaponization of religion to discriminate against or harm LGBTQ+ people. The freedom of worship is a core American value. But the Trump White House has weaponized the language of religion by giving federal agencies, government contractors, and grantees a license to discriminate against LGBTQ+ people, as long as they claim they discriminated for a religious reason. Religious liberty should not be used to shield bigotry. As president, I will fight to pass the Do No Harm Act to guarantee that religious freedom canду»t be used to harm LGBTQ+ people.

Sign up now if youду»re with me.",social cultural
"Too many transgender and non-binary people can be outed or put in danger when presenting identification documents that are not consistent with their gender identity. As president, I will make it easier for transgender Americans to change their birth certificates, passports, and other forms of identification, and I support including a third gender marker to recognize non-binary Americans. 

Sign up now if youду»re with me.",social cultural
"We must institute a nationwide ban on conversion therapy. This cruel practice has been widely discredited and has already harmed hundreds of thousands of people. As president, I will ensure that no federal dollars are used to support conversion therapy and will take executive action to end conversion therapy against LGBTQ+ minors. 

Sign up now to join our fight to ban conversion therapy.","social cultural, health, safety"
"Today, federal law still does not expressly prohibit firing a transgender person because of their gender identity, evicting a bisexual person because their same-sex partner moves in, or deliberately misgendering a non-binary student in the classroom. As president, I will fight to pass the Equality Act to explicitly guarantee that no LGBTQ+ person in America is discriminated against for who they are or who they love. 

There should be absolutely no question that LGBTQ+ people have equal rights under the law. Thatду»s why Iду»m an original co-sponsor of the Equality Act, which would amend existing civil rights laws to explicitly ban discrimination on the basis of sexual orientation and gender identity in employment, housing, health care, education, public accommodations, credit, jury selection, and all federally-funded services. And if Senate Republicans put small-minded partisanship ahead of protecting these rights, I will end the filibuster so that we have a path to getting critical legislation like the Equality Act passed. 

Sign up now to join our fight to pass the Equality Act.","social cultural, economic, social programs, governance, health, education"
"Lesbian, gay, and bisexual youth are almost five times as likely to have attempted suicide as their straight peers. Ten percent of transgender people aged 18-25 reported having attempted suicide in the last year. As president, Iду»ll fight to make sure every LGBTQ+ young person is treated with dignity, fairness, and love at home and in school.

This starts by banning discrimination against sexual orientation and gender identity in our adoption agencies and child welfare system. We must also institute a nationwide ban on conversion therapy. And I will make it easier to change identification documents to reflect a personду»s gender identity.

We must make schools safe environments for LGBTQ+ students. In 2017, more than half of LGBTQ+ students reported feeling unsafe at school because of their sexual orientation, and over 70% of LGBTQ+ students reported being verbally harassed or bullied. As a consequence, more than a third of LGBTQ+ students missed school during the previous month because they felt unsafe or uncomfortable. 

As president, Iду»ll fight to make sure every young LGBTQ+ person has an equal opportunity to thrive. If youду»re with me, sign up now.","social cultural, social programs, safety, health, education"
"The Supreme Court just heard three cases that threaten to roll back LGBTQ+ rights, allowing employers to fire workers because of their sexual orientation or gender identity. Now that President Trump has appointed two new Justices, Brett Kavanaugh and Neil Gorsuch, the Supreme Court could set LGBTQ+ rights back by years.  

No matter what happens at the Supreme Court, we need a president who will lift up the voices of every LGBTQ+ person, stand up to discrimination, and fight back. And as president, I will fight shoulder to shoulder with them дус because no one should ever be unsafe, unheard, or disempowered because of who they are or who they love. 

If youду»re ready to fight for LGBTQ+ equality with me, sign up now.","governance, social cultural"
"We have made incredible strides and medical advancements toward ending the HIV/AIDS epidemic, but HIV/AIDS remains a public health crisis with 1.1 million people continuing to live with HIV in the U.S. today. A majority of these people are LGBTQ+, are from communities of color, and are contending with multiple barriers that prevent them from getting the care they need. We must demand more for them and for their futures. 

I will fight to increase funding for federal HIV/AIDS programs and research like the Ryan White Program, including the Minority HIV/AIDS Initiative, and HIV/AIDS treatment and cure research at the National Institutes of Health. 

We must also decriminalize HIV transmission and publicly manufacture PrEP, making the drug available to more people.

Sign up now to join our fight to end the HIV/AIDS crisis.","social cultural, safety, social programs, health"
"Climate change is a crisis дуо but it also represents a once-in-a-generation opportunity to create millions of good-paying American jobs in clean and renewable energy, infrastructure, and manufacturing. 

For too long, there has been a tension between transitioning to a green economy and creating good, union jobs. But we can do both. Iду»ve got a plan to create good new middle class jobs through investments in a clean economy coupled with the strongest possible protections for workers. 

If youду»re ready to tackle the climate crisis and create millions of good, union jobs, sign up now.","environmental, economic"
"Climate change threatens all of us, and we must address it head-on. Itду»s time for a Green New Deal дуо and by ending oil and gas subsidies and reversing Trumpду»s tax cuts for the wealthiest individuals and giant corporations, we can make a down payment on the justice we need. 

The Green New Deal will deploy trillions of dollars to transform the way we source and use energy. In doing so, the government must prioritize resources to support communities hit first and worst by climate change, and correct historic injustices. My friend Governor Jay Inslee rightly challenged us to fund the most vulnerable communities first, and heду»s right. Iду»ll direct one-third of my proposed climate investment into communities that are on the front lines of the climate crisis дуо a commitment that would funnel at least $1 trillion into these areas over the next decade. 

If youду»re ready to fight for justice in our response to the climate crisis, sign up now.","environmental, economic"
"People in underserved communities disproportionately suffer from certain cancers and other pollution-related illnesses. To make matters worse, they are less likely to have access to quality health care. Under Medicare for All, everyone will have high quality health care at a lower cost, allowing disadvantaged communities to get lifesaving services. If youду»re ready to fight for Medicare for All, sign up now.","social programs, health"
"We have a crisis of environmental injustice, and itду»s the result of ignoring decades of discrimination and environmental racism in underserved communities. For far too long, our government put corporate profits ahead of people. Thatду»s wrong, and it must change. 

Justice must be at the center of our response to climate change. The Green New Deal commits us to a думjust transitionдуќ for all communities and all workers. We must prioritize communities that have experienced historic disinvestment, across their range of needs: affordable housing, better infrastructure, good schools, access to health care, and good jobs. And we must fight to rebuild our unions and create real progress and justice for all workers as we transition to a clean energy economy.

We need strong communities that are prepared and properly resourced to withstand the impacts of climate change. We need big, structural change дуо focused on, and led by, members of these communities. If youду»re ready to fight for environmental justice and a Green New Deal, sign up now.","environmental, economic, social cultural, health, education"
"Under current law, members of Congress can trade stocks and then use their powerful positions to increase the value of those stocks and pad their own pockets. The solution is simple дуо as president, I will ban members of Congress and senior government officials from owning or trading individual stocks.

Sign up now if youду»re ready to start cleaning up conflicts of interest in Washington.","economic, governance"
